ville1,pays1,latitude1,longitude1,ville2,pays2,latitude2,longitude2,distance
Montréal, Canada,45.5031824,-73.5698065,Buenos Aires, Argentine,-34.6037181,-58.38153,9037.575216024
Singapour, Singapour,1.357107,103.8194992,Athènes, Grèce,37.9755648,23.7348324,9046.532600284749
Londres, Angleterre,51.5073219,-0.1276474,Johannesburg, Afrique du Sud,-26.205,28.049722,9069.923895327289
Paris, France,48.8534951,2.3483915,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,9085.362136774374
Pékin, Chine,40.190632,116.412144,Melbourne, Australie,-37.8142454,144.9631732,9148.426158365366
Paris, France,48.8534951,2.3483915,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,9169.156198960221
Johannesburg, Afrique du Sud,-26.205,28.049722,Santiago, Chili,-33.4377756,-70.6504502,9176.49411217413
Mexico, Mexique,19.4326296,-99.1331785,Oslo, Norvège,59.9133301,10.7389701,9195.11577476421
Paris, France,48.8534951,2.3483915,Mexico, Mexique,19.4326296,-99.1331785,9196.115103647506
Hong Kong, Chine,22.2793278,114.1628131,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,9235.282594609651
Londres, Angleterre,51.5073219,-0.1276474,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,9279.441832980381
Berlin, Allemagne,52.5170365,13.3888599,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,9309.066040917245
Tokyo, Japon,35.6821936,139.762221,Athènes, Grèce,37.9755648,23.7348324,9510.393206235914
Londres, Angleterre,51.5073219,-0.1276474,Tokyo, Japon,35.6821936,139.762221,9562.021510815619
Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,Séoul, Corée du Sud,37.5666791,126.9782914,9585.712506945309
Londres, Angleterre,51.5073219,-0.1276474,Hong Kong, Chine,22.2793278,114.1628131,9626.263782905331
Paris, France,48.8534951,2.3483915,Hong Kong, Chine,22.2793278,114.1628131,9629.9368394401
Athènes, Grèce,37.9755648,23.7348324,Manille, Philippines,14.5906346,120.9799964,9632.711715480666
Hong Kong, Chine,22.2793278,114.1628131,Reykjavik, Islande,64.145981,-21.9422367,9686.371049738067
Manille, Philippines,14.5906346,120.9799964,Oslo, Norvège,59.9133301,10.7389701,9688.057212572476
